,train_ARI,loglike,test_ARI,train_ARI_std,loglike_std,test_ARI_std,method,missing_rate,RMSE_test,RMSE_train,RMSE_test_std,RMSE_train_std,Unnamed: 0
0,1.0,0.0,1.0,0.0,0.0,0.0,KMeans+CC,0.0,,,,,
1,1.0,0.0,1.0,0.0,0.0,0.0,KMeans+mean,0.0,,,,,
2,1.0,0.0,1.0,0.0,0.0,0.0,KMeans+mode,0.0,,,,,
3,1.0,0.0,1.0,0.0,0.0,0.0,KMeans+median,0.0,,,,,
4,1.0,-20.409231601015616,0.9919722439354588,0.0,0.0,1.1102230246251563e-16,EM+CC,0.0,0.0,0.0,0.0,0.0,
5,5.905001716507523e-05,0.0,-0.0009901009681445,0.0011608183163216,0.0,0.0035633079294854,KMeans+CC,0.1,,,,,
6,0.8349701935322754,0.0,0.8521303680166759,0.0,0.0,0.0,KMeans+mean,0.1,,,,,
7,0.8349701935322754,0.0,0.8521303680166759,0.0,0.0,0.0,KMeans+mode,0.1,,,,,
8,0.8349701935322754,0.0,0.8521303680166759,0.0,0.0,0.0,KMeans+median,0.1,,,,,
9,0.0,-1082.142078512589,0.0,0.0,2.273736754432321e-13,0.0,EM+CC,0.1,0.5945685037786805,0.5799360758192019,1.1102230246251563e-16,1.1102230246251563e-16,
10,4.873347355217894e-06,0.0,-0.0013032579713302,0.0004200397720934,0.0,0.0029147886465559,KMeans+CC,0.2,,,,,
11,1.0,0.0,1.0,0.0,0.0,0.0,KMeans+mean,0.2,,,,,
12,1.0,0.0,1.0,0.0,0.0,0.0,KMeans+mode,0.2,,,,,
13,1.0,0.0,1.0,0.0,0.0,0.0,KMeans+median,0.2,,,,,
14,0.0,-1082.142078512589,0.0,0.0,2.273736754432321e-13,0.0,EM+CC,0.2,0.5850202030183009,0.580393170338702,0.0,1.1102230246251563e-16,
15,4.2348614331468666e-05,0.0,0.0028829129013055,0.0009965812219,0.0,0.0049588099662718,KMeans+CC,0.3,,,,,
16,0.8191169038425141,0.0,0.8174352321763235,1.1102230246251563e-16,0.0,0.0,KMeans+mean,0.3,,,,,
